asset_id,name,concept_reference_images,animation_clips,frames_per_direction_total,rendered_frames_16_directions,packages,design_brief
npc-farmer,Mara,16,40,466,7456,human-core human-rest farm-work,"Adult woman, sturdy working build, 1.70 m; broad forearms, tied dark hair, straw hat, ochre linen and patched apron."
npc-trader,Tomas,16,38,430,6880,human-core human-rest trade-work,"Adult man, lean and tall, 1.82 m; narrow shoulders, longer face, short beard, blue wool vest, cap and belt pouch."
npc-villager,Elin,16,32,370,5920,human-core human-rest baker-work,"Adult woman, medium build, 1.62 m; round face, braided hair, plum dress, off-white baker apron, rolled sleeves."
npc-herder,Ivo,16,32,378,6048,human-core human-rest herder-work,"Older man, wiry, 1.72 m; weathered dark skin, grey beard, slight stoop, rust coat and shepherd crook."
npc-gardener,Nell,16,40,466,7456,human-core human-rest farm-work,"Older woman, short, 1.55 m; silver bun, square face, green bodice, practical skirt and worn gardening gloves."
npc-miller,Bram,16,40,466,7456,human-core human-rest farm-work,"Fat adult farmer/miller, 1.78 m; wide belly, thick upper arms and thighs, round face, beard, flour-dusted taupe shirt and suspenders. Clothing and gait fitted to his actual body."
npc-child-1,Pip,16,37,418,6688,human-core human-rest child-play,"Boy, about 8, 1.20 m; child-specific head/body proportions, shorter limbs, soft face, orange short tunic, loose cap and scuffed ankle boots."
npc-child-2,Wren,16,37,418,6688,human-core human-rest child-play,"Girl, about 10, 1.34 m; distinct child rig and face, tied hair, blue pinafore over cream blouse, leggings and soft boots."
ewe-cream,Cream ewe,16,25,266,4256,quadruped-core sheep-extra,"Rounded wool mass, narrow legs, relaxed ears; no horns."
ram-grey,Grey ram,16,25,266,4256,quadruped-core sheep-extra,"Heavier neck and chest, curled horns, grey fleece; distinct silhouette from ewe."
cow-brown-white,Brown-and-white cow,16,25,266,4256,quadruped-core cow-extra,"Broad barrel, large white patches, brown head, short horns and visible udder."
cow-dark,Dark cow,16,25,266,4256,quadruped-core cow-extra,"Slightly taller and leaner, dark coat, white forehead blaze, different horn shape."
hen-brown,Brown hen,16,23,246,3936,poultry-core,"Round red-brown body, small comb and short tail."
hen-speckled,Speckled hen,16,23,246,3936,poultry-core,"Lighter speckled feathers, slimmer body, different comb and tail."
rooster,Rooster,16,26,294,4704,poultry-core rooster-extra,"Taller body, red comb, layered green-black arched tail and clear wattles."
crow,Crow (second batch),16,15,180,2880,bird-core,"Small black corvid, grey-black feather breakup, heavy bill; avoid featureless silhouette."
eagle,Eagle (second batch),16,15,180,2880,bird-core,"Large brown raptor, hooked beak, broad wings and visible primary feathers."
